ANO;TITULO;VENCEDOR;LINK_EN;LINK_ES;LINK_PT;PAGEID_EN;TITLE_EN;TITLE_ES;PAGEID_ES;TITLE_PT;PAGEID_PT
1938;Captains Courageous (1937 film);Não;https://en.wikipedia.org/wiki/Captains_Courageous_(1937_film);https://es.wikipedia.org/wiki/Capitanes_intrépidos;https://pt.wikipedia.org/wiki/Captains_Courageous;4015188;Captains Courageous (1937 film);Capitanes intrépidos;1053754.0;Captains Courageous;2114796
1938;Dead End (1937 film);Não;https://en.wikipedia.org/wiki/Dead_End_(1937_film);https://es.wikipedia.org/wiki/Calle_sin_salida_(película_de_1937);https://pt.wikipedia.org/wiki/Dead_End;61525;Dead End (1937 film);Calle sin salida (película de 1937);10299887.0;Dead End;1668882
1938;The Good Earth (film);Não;https://en.wikipedia.org/wiki/The_Good_Earth_(film);https://es.wikipedia.org/wiki/La_buena_tierra_(película_de_1937);https://pt.wikipedia.org/wiki/The_Good_Earth;60157;The Good Earth (film);La buena tierra (película de 1937);9142461.0;The Good Earth;2154985
1938;In Old Chicago;Não;https://en.wikipedia.org/wiki/In_Old_Chicago;https://es.wikipedia.org/wiki/In_Old_Chicago;https://pt.wikipedia.org/wiki/In_Old_Chicago;61527;In Old Chicago;In Old Chicago;8449254.0;In Old Chicago;1304989
1938;Lost Horizon (1937 film);Não;https://en.wikipedia.org/wiki/Lost_Horizon_(1937_film);https://es.wikipedia.org/wiki/Horizontes_perdidos_(película_de_1937);https://pt.wikipedia.org/wiki/Horizonte_Perdido_(1937);61529;Lost Horizon (1937 film);Horizontes perdidos (película de 1937);1157679.0;Horizonte Perdido (1937);510181
1938;One Hundred Men and a Girl;Não;https://en.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl;https://es.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl;https://pt.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl;61530;One Hundred Men and a Girl;One Hundred Men and a Girl;8482498.0;One Hundred Men and a Girl;4259769
1938;Stage Door;Não;https://en.wikipedia.org/wiki/Stage_Door;https://es.wikipedia.org/wiki/Damas_del_teatro;https://pt.wikipedia.org/wiki/Stage_Door;61531;Stage Door;Damas del teatro;2994874.0;Stage Door;2469032
1938;A Star Is Born (1937 film);Não;https://en.wikipedia.org/wiki/A_Star_Is_Born_(1937_film);https://es.wikipedia.org/wiki/A_Star_Is_Born_(película_de_1937);https://pt.wikipedia.org/wiki/A_Star_Is_Born_(1937);3450569;A Star Is Born (1937 film);A Star Is Born (película de 1937);255844.0;A Star Is Born (1937);2317982
1939;The Adventures of Robin Hood;Não;https://en.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;https://es.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;https://pt.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;62084;The Adventures of Robin Hood;The Adventures of Robin Hood;28317.0;The Adventures of Robin Hood;627075
1939;Boys Town (film);Não;https://en.wikipedia.org/wiki/Boys_Town_(film);https://es.wikipedia.org/wiki/Forja_de_hombres;https://pt.wikipedia.org/wiki/Boys_Town_(filme);740989;Boys Town (film);Forja de hombres;28265.0;Boys Town (filme);4271531
1939;The Citadel (1938 film);Não;https://en.wikipedia.org/wiki/The_Citadel_(1938_film);https://es.wikipedia.org/wiki/La_ciudadela_(película);https://pt.wikipedia.org/wiki/The_Citadel_(filme);3702166;The Citadel (1938 film);La ciudadela (película);1067551.0;The Citadel (filme);2493493
1939;Four Daughters;Não;https://en.wikipedia.org/wiki/Four_Daughters;;https://pt.wikipedia.org/wiki/Four_Daughters;62095;Four Daughters;;;Four Daughters;2474112
1939;La Grande Illusion;Não;https://en.wikipedia.org/wiki/La_Grande_Illusion;https://es.wikipedia.org/wiki/La_gran_ilusión;https://pt.wikipedia.org/wiki/A_Grande_Ilusão_(1937);62097;La Grande Illusion;La gran ilusión;362548.0;A Grande Ilusão (1937);2077385
2023;Women Talking (film);Não;https://en.wikipedia.org/wiki/Women_Talking_(film);https://es.wikipedia.org/wiki/Ellas_hablan;https://pt.wikipedia.org/wiki/Women_Talking;67180462;Women Talking (film);Ellas hablan;10400044.0;Women Talking;6957777
1929;Wings (1927 film);Sim;https://en.wikipedia.org/wiki/Wings_(1927_film);https://es.wikipedia.org/wiki/Alas_(película);https://pt.wikipedia.org/wiki/Asas_(filme);61046;Wings (1927 film);Alas (película);222723.0;Asas (filme);369538
1934;Smilin' Through (1932 film);Não;https://en.wikipedia.org/wiki/Smilin'_Through_(1932_film);;https://pt.wikipedia.org/wiki/Smilin'_Through;20546667;Smilin' Through (1932 film);;;Smilin' Through;4239362
1936;Les Misérables;Não;https://en.wikipedia.org/wiki/Les_Misérables_(1935_film);https://es.wikipedia.org/wiki/Les_Misérables_(película_de_1935);https://pt.wikipedia.org/wiki/Les_Misérables_(1935);61491;Les Misérables (1935 film);Les Misérables (película de 1935);9419076.0;Les Misérables (1935);1328066
1936;A Midsummer Night's Dream (1935 film);Não;https://en.wikipedia.org/wiki/A_Midsummer_Night's_Dream_(1935_film);https://es.wikipedia.org/wiki/El_sueño_de_una_noche_de_verano_(película_de_1935);https://pt.wikipedia.org/wiki/Sonho_de_uma_Noite_de_Verão_(1935);7046343;A Midsummer Night's Dream (1935 film);El sueño de una noche de verano (película de 1935);6639494.0;Sonho de uma Noite de Verão (1935);314052
1937;Three Smart Girls;Não;https://en.wikipedia.org/wiki/Three_Smart_Girls;;https://pt.wikipedia.org/wiki/Three_Smart_Girls;61520;Three Smart Girls;;;Three Smart Girls;4258533
1939;You Can't Take It with You (film);Sim;https://en.wikipedia.org/wiki/You_Can't_Take_It_with_You_(film);https://es.wikipedia.org/wiki/You_Can't_Take_It_With_You;https://pt.wikipedia.org/wiki/You_Can't_Take_It_with_You;18388326;You Can't Take It with You (film);You Can't Take It With You;1053698.0;You Can't Take It with You;527421
1939;Alexander's Ragtime Band (film);Não;https://en.wikipedia.org/wiki/Alexander's_Ragtime_Band_(film);https://es.wikipedia.org/wiki/Alexander's_Ragtime_Band_(película);https://pt.wikipedia.org/wiki/Alexander's_Ragtime_Band;10408933;Alexander's Ragtime Band (film);Alexander's Ragtime Band (película);8449425.0;Alexander's Ragtime Band;1970363
1939;Jezebel (1938 film);Não;https://en.wikipedia.org/wiki/Jezebel_(1938_film);https://es.wikipedia.org/wiki/Jezabel_(película_de_1938);https://pt.wikipedia.org/wiki/Jezebel;1396988;Jezebel (1938 film);Jezabel (película de 1938);28521.0;Jezebel;1509904
1939;Pygmalion (1938 film);Não;https://en.wikipedia.org/wiki/Pygmalion_(1938_film);https://es.wikipedia.org/wiki/Pigmalión_(película);https://pt.wikipedia.org/wiki/Pygmalion;5015052;Pygmalion (1938 film);Pigmalión (película);294227.0;Pygmalion;1152150
1939;Test Pilot (film);Não;https://en.wikipedia.org/wiki/Test_Pilot_(film);https://es.wikipedia.org/wiki/Piloto_de_pruebas_(película_de_1938);https://pt.wikipedia.org/wiki/Test_Pilot;62110;Test Pilot (film);Piloto de pruebas (película de 1938);2994894.0;Test Pilot;4273233
1940;Gone with the Wind (film);Sim;https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film);https://es.wikipedia.org/wiki/Lo_que_el_viento_se_llevó_(película);https://pt.wikipedia.org/wiki/Gone_with_the_Wind;2804704;Gone with the Wind (film);Lo que el viento se llevó (película);132749.0;Gone with the Wind;203853
1940;Dark Victory;Não;https://en.wikipedia.org/wiki/Dark_Victory;https://es.wikipedia.org/wiki/Amarga_victoria;https://pt.wikipedia.org/wiki/Dark_Victory;62111;Dark Victory;Amarga victoria;1798514.0;Dark Victory;2662903
1940;Goodbye, Mr. Chips (1939 film);Não;https://en.wikipedia.org/wiki/Goodbye,_Mr._Chips_(1939_film);https://es.wikipedia.org/wiki/Adiós,_Mr._Chips_(película_de_1939);https://pt.wikipedia.org/wiki/Adeus,_Mr._Chips;1126798;Goodbye, Mr. Chips (1939 film);Adiós, Mr. Chips (película de 1939);7380332.0;Adeus, Mr. Chips;3687614
